cause,effect,cause_topic,effect_topic,paper_name,source_id,conf_topic,path_to_cause,path_to_effect,to_cause_sources,to_effect_sources,to_cause_len,to_effect_len,conf_papers,within_same_paper
the behavior of the control group,is likely to underestimate the impact of the SSP financial incentive on IA receipt compared with what would have been observed in the absence of the policy changes,topic_2349,topic_6553,Interpreting Experimental Evidence in the Presence of Postrandomization Events: A Reassessment of the Self-Sufficiency Project,37579,topic_4349,"
Policy changes implemented during the SSP --> the control group’s behavior did not provide an appropriate counterfactual","
given the policy changes that occurred --> the observed behavior of the experimental control group overstates the extent to which long-term welfare recipients with dependent children would have left IA in an unchanging policy environment in the absence of incentives to do so",[37375],[37813],1,1,['Interpreting Experimental Evidence in the Presence of Postrandomization Events: A Reassessment of the Self-Sufficiency Project'],TRUE
7.2% of firstborn boys in Denmark are sentenced to prison by the age of 21,secondborn boys have a rate that is 2.4 percentage points higher,topic_810,topic_2488,Birth Order and Delinquency: Evidence from Denmark and Florida,25335,topic_990,"
by age 16 and by age 21 --> secondborn boys are more likely to have criminal justice involvement and serve time in prison","
by age 16, --> secondborn boys are much more likely to have these outcomes by that age compared with their older siblings",[25602],[25615],1,1,['Birth Order and Delinquency: Evidence from Denmark and Florida'],TRUE
the class size rule is followed,there will be a drop in average class size just to the right of the discontinuity for both the add-a-class threshold and the remove-a-class threshold,topic_3882,topic_1881,A Method for Disentangling Multiple Treatments from a Regression Discontinuity Design,36204,topic_1987,"
a positive enrollment shock --> cause them to exceed the class size cap","
a negative enrollment shock --> allows them to eliminate a class at time t without violating the maximum class size rule",[35943],[35944],1,1,['A Method for Disentangling Multiple Treatments from a Regression Discontinuity Design'],TRUE
the class size rule,there will be a drop in average class size just to the right of the discontinuity for both the add-a-class threshold and the remove-a-class threshold,topic_3882,topic_1881,A Method for Disentangling Multiple Treatments from a Regression Discontinuity Design,36205,topic_1987,"
a positive enrollment shock --> cause them to exceed the class size cap","
a negative enrollment shock --> allows them to eliminate a class at time t without violating the maximum class size rule",[35943],[35944],1,1,['A Method for Disentangling Multiple Treatments from a Regression Discontinuity Design'],TRUE
admissions information,"where students apply and attend, with larger impacts for the more popular colleges",topic_2185,topic_1083,Changing College Choices with Personalized Admissions Information at Scale: Evidence on Naviance,42451,topic_777,"
the types of colleges to which their schoolmates previously applied --> how accurately previous admits’ scores reflect the true admissions criteria","
Students also apply to fewer reach colleges in the first year with scattergrams --> they shift applications to colleges at which they are further above the average admitted student (in the district) than in the previous year",[42686],[42292],1,1,['Changing College Choices with Personalized Admissions Information at Scale: Evidence on Naviance'],TRUE
program effects on UI receipt outcomes based on the unemployment rate in the county of residence,differences in efficacy across programs,topic_379,topic_3325,The Labor Market Effects of US Reemployment Policy: Lessons from an Analysis of Four Programs during the Great Recession,39745,topic_1591,"
unemployment rate differences --> program effects varied on the basis of the local unemployment rate","
unemployment rate differences --> differences in efficacy across programs",[39745],[39744],1,1,['The Labor Market Effects of US Reemployment Policy: Lessons from an Analysis of Four Programs during the Great Recession'],TRUE
creates important negative externalities in the form of more violent felonies being committed in the future,our results speak to the effect of eighth-grade retention,topic_5873,topic_547,The Effect of Grade Retention on Adult Crime: Evidence from a Test-Based Promotion Policy,68078,topic_1209,"
violent (but not property) crime --> a negative impact on mental health for both victims and nonvictims","
violent crime --> eighth-grade retention",[74628],[67638],1,1,"['The Effect of Grade Retention on Adult Crime: Evidence from a Test-Based Promotion Policy', 'Scaring or Scarring? Labor Market Effects of Criminal Victimization']",FALSE
The shift from long-term contracting to pay for performance,a fundamental change for the firm,topic_3861,topic_1912,Personnel Practices and Regulation: How Firm-Provided Incentives Respond to Changes in Mandatory Retirement Law,53254,topic_224,"
The law change --> long-term implicit contracting was preferred by many firms when paired with mandatory retirement","
the law change --> the firm changed its pay setting practice",[53244],[53305],1,1,['Personnel Practices and Regulation: How Firm-Provided Incentives Respond to Changes in Mandatory Retirement Law'],TRUE
earlier immigrant entry cohorts narrow the earnings gap by around 15 percentage points during the first two decades in the United States,immigrants who entered the country after the 1980s have a negligible rate of wage convergence,topic_665,topic_1578,Immigrant Earnings Assimilation in the United States: A Panel Analysis,43597,topic_6796,"
for immigrants arriving at older ages, particularly in Canada --> these employment rate gaps are even larger for immigrants arriving at older ages, particularly in Canada","
in Canada, where more than 70% of new immigrants in the late 2000s became permanent residents on initial arrival as opposed to transitioning from a temporary work or student visa --> immigrant employment rates at the time of labor market entry were 5 percentage points below those of natives",[19479],[19478],1,1,"['A Comparative Analysis of the Labor Market Performance of University-Educated Immigrants in Australia, Canada, and the United States: Does Policy Matter?']",FALSE
they also explain more than 90% of the variance in the midpoints of the wage ranges that firms post,"By contrast, six-digit SOC codes, the most detailed occupational classification commonly used by economists, can explain only a third of this variance",topic_2213,topic_4574,Opening the Black Box of the Matching Function: The Power of Words,30369,topic_2085,"
Job titles --> more than 90% of the variance in the midpoints of the wage ranges that firms post","
job titles --> capture important worker heterogeneity missed by six-digit SOC codes",[30371],[30791],1,1,['Opening the Black Box of the Matching Function: The Power of Words'],TRUE
Those residing on the same block,are more likely to work in the same place,topic_3871,topic_1315,How Widespread Are Social Network Effects? Evidence from the Early Twentieth-Century United States,65458,topic_5806,"
informal job referrals --> Those residing on the same block","
informal job referrals --> Those residing on the same block are more likely to work in the same place",[65458],[65460],1,1,['How Widespread Are Social Network Effects? Evidence from the Early Twentieth-Century United States'],TRUE
residing in the same local area,"increases the probability of working in the same industry by 1.0 to 7.3 percentage points in Boston, 1.0 to 2.7 percentage points in Los Angeles, 0.7 to 2.0 percentage points in Des Moines, and 1.1 to 4.0 percentage points in Nashville",topic_3871,topic_1315,How Widespread Are Social Network Effects? Evidence from the Early Twentieth-Century United States,65469,topic_5806,"
informal job referrals --> Those residing on the same block","
informal job referrals --> Those residing on the same block are more likely to work in the same place",[65458],[65460],1,1,['How Widespread Are Social Network Effects? Evidence from the Early Twentieth-Century United States'],TRUE
worker pairs residing in the same local area,are thus more likely to be working in the same industry than pairs living in different areas within the same reference group,topic_3871,topic_1315,How Widespread Are Social Network Effects? Evidence from the Early Twentieth-Century United States,65625,topic_5806,"
informal job referrals --> Those residing on the same block","
informal job referrals --> Those residing on the same block are more likely to work in the same place",[65458],[65460],1,1,['How Widespread Are Social Network Effects? Evidence from the Early Twentieth-Century United States'],TRUE
living in the same local area,"increases the propensity for worker pairs to have the same industry and occupation by 0.7–6.0 percentage points in Boston, 0.6–1.8 percentage points in Los Angeles, 0.5–1.4 percentage points in Des Moines, and 0.9–3.0 percentage points in Nashville",topic_3871,topic_1315,How Widespread Are Social Network Effects? Evidence from the Early Twentieth-Century United States,65648,topic_5806,"
informal job referrals --> Those residing on the same block","
informal job referrals --> Those residing on the same block are more likely to work in the same place",[65458],[65460],1,1,['How Widespread Are Social Network Effects? Evidence from the Early Twentieth-Century United States'],TRUE
a relative per-worker quantity increase in the human capital of university graduates compared with high school graduates that was similar in both countries,the increase in the premium,topic_2768,topic_6705,"Different Paths? Human Capital Prices, Wages, and Inequality in Canada and the United States",20714,topic_6898,"
a larger relative price increase --> an increase in per-worker efficiency units for young university graduates relative to high school graduates in both countries","
the increase in relative quantities rather than in relative prices --> the major source of the premium increase",[20203],[20512],1,1,"['Different Paths? Human Capital Prices, Wages, and Inequality in Canada and the United States']",TRUE
a large increase in the per-worker efficiency units for high-skilled relative to low-skilled workers,The rapid increase in the university premium for young males from 1980 to the mid-1990s,topic_2768,topic_98,"Different Paths? Human Capital Prices, Wages, and Inequality in Canada and the United States",20440,topic_2306,"
the larger price decline that they face for university-level human capital in Canada that is not offset by their similarly increased efficiency units --> Older male university graduates in both countries show efficiency unit increases (somewhat larger for Canada)","
since the early 1980s prices of human capital have declined by 15%–20% in both the United States and Canada for all education groups except dropout workers in Canada (whose prices have been roughly constant) --> there was a substantial increase in effective human capital of newer cohorts of college graduates in both countries, starting with cohorts that entered the labor market in the early 1980s",[20417],[22777],1,1,"['Introduction: Labor Markets and Public Policies in the United States and Canada', 'Different Paths? Human Capital Prices, Wages, and Inequality in Canada and the United States']",FALSE
an increase in efficiency units supplied by the average university graduate compared with the average high school graduate,the source of the increased university wage premium for young males,topic_2768,topic_98,"Different Paths? Human Capital Prices, Wages, and Inequality in Canada and the United States",20462,topic_6898,"
a larger relative price increase --> an increase in per-worker efficiency units for young university graduates relative to high school graduates in both countries","
a significant increase in the relative price --> The rapid increase in the university premium for young males from 1980 to the mid-1990s",[20203],[20438],1,1,"['Different Paths? Human Capital Prices, Wages, and Inequality in Canada and the United States']",TRUE
increases in per-worker efficiency units for young university graduates relative to high school graduates,a larger wage premium increase for the United States,topic_2768,topic_2974,"Different Paths? Human Capital Prices, Wages, and Inequality in Canada and the United States",20201,topic_6898,"
a larger relative price increase --> an increase in per-worker efficiency units for young university graduates relative to high school graduates in both countries","
a larger relative price increase --> a larger wage premium increase for the United States",[20203],[20199],1,1,"['Different Paths? Human Capital Prices, Wages, and Inequality in Canada and the United States']",TRUE
an increase in per-worker efficiency units for young university graduates relative to high school graduates in both countries,a larger wage premium increase for the United States,topic_2768,topic_2974,"Different Paths? Human Capital Prices, Wages, and Inequality in Canada and the United States",20202,topic_6898,"
a larger relative price increase --> an increase in per-worker efficiency units for young university graduates relative to high school graduates in both countries","
a larger relative price increase --> a larger wage premium increase for the United States",[20203],[20199],1,1,"['Different Paths? Human Capital Prices, Wages, and Inequality in Canada and the United States']",TRUE
in contrast to an increase in 0.0010 for father’s schooling,the relative effect of mother’s education versus father’s education increases significantly as well,topic_1252,topic_2116,"Does Parental Quality Matter? Evidence on the Transmission of Human Capital Using Variation in Parental Influence from Death, Divorce, and Family Size",29892,topic_1494,"
the child’s age when the mother died --> maternal education actually increases from 0.0015 to 0.0018","
a mother dies before the child is 18 --> the mother’s education becomes significantly less important relative to the father’s",[29766],[29735],1,1,"['Does Parental Quality Matter? Evidence on the Transmission of Human Capital Using Variation in Parental Influence from Death, Divorce, and Family Size']",TRUE
BIM determines marriage market equilibrium,prospective spouses meet in the marriage market,topic_5662,topic_2583,How Bargaining in Marriage Drives Marriage Market Equilibrium,2761,topic_3910,"
Prenuptial agreements --> are unlikely to lead to a pattern of BIM utilities that mimic BAMM imputations and, hence, provide no support for the use of BAMM to analyze marriage market equilibrium in a BIM world","
prenuptial agreements and premarital transfers --> prospective spouses to enforce agreements made in the marriage market by fine-tuning the BIM utilities to replicate the BAMM imputations",[2971],[2966],1,1,['How Bargaining in Marriage Drives Marriage Market Equilibrium'],TRUE
QPIP’s improved compensation,a greater impact on fathers’ leave-taking,topic_2379,topic_4230,Reserving Time for Daddy: The Consequences of Fathers’ Quotas,14325,topic_3917,"
who the higher-earning parent was --> QPIP’s improved compensation","
the father is the higher-earning spouse --> a bigger effect on fathers’ leave-taking",[14323],[14355],1,1,['Reserving Time for Daddy: The Consequences of Fathers’ Quotas'],TRUE
AI activity surged—between 2014 and 2018,substantial declines in hiring take place in the time window,topic_3916,topic_1662,Allocating Effort and Talent in Professional Labor Markets,323,topic_3641,"
a 1 standard deviation increase in AI exposure—which --> approximately a 16% increase in AI vacancies","
a 1 standard deviation increase in the Felten et al. exposure measure --> a 0.83 absolute decline in the per-vacancy frequency with which skills previously demanded are posted",[526],[640],1,1,['Allocating Effort and Talent in Professional Labor Markets'],TRUE
more than a fifth have incomes above twice the poverty line,there is a vast amount of error associated with classifying households as extreme poor solely on the basis of their survey-reported cash income,topic_1191,topic_3103,The Use and Misuse of Income Data and Extreme Poverty in the United States,57929,topic_1466,"
these survey-only adjustments are by and large confirmed by the administrative data --> 47% of households having incomes above the poverty line and 27% having incomes above twice the poverty line","
after the survey-only adjustments --> there are still nontrivial gross errors in the extreme poverty rate",[58043],[57882],1,1,['The Use and Misuse of Income Data and Extreme Poverty in the United States'],TRUE
being eligible for a university SGL (right after graduating from high school),labor market outcomes,topic_4430,topic_950,Labor Market Returns to Student Loans for University: Evidence from Chile,38000,topic_4034,"
by applying for financial aid and scoring above a fixed minimum cutoff in a centralized college entrance exam --> students gain access to the SGL to finance university degrees","
merit-based scholarships --> labor market outcomes",[37863],[37899],1,1,['Labor Market Returns to Student Loans for University: Evidence from Chile'],TRUE
male operators work nearly twice as many overtime hours when they are scheduled on short notice,Male and female operators choose to work similar hours of overtime when they are scheduled months in advance,topic_1321,topic_3425,Why Do Women Earn Less than Men? Evidence from Bus and Train Operators,69102,topic_597,"
faced with an undesirable schedule --> male operators take unpaid time off but also work more overtime during the rest of the week","
faced with an unfavorable schedule --> female operators are more likely than male operators to take unpaid leave",[69102],[68848],1,1,['Why Do Women Earn Less than Men? Evidence from Bus and Train Operators'],TRUE
providing higher returns to moving to locations where this ability is highly compensated,"Adaptability, to the contrary, while associated with higher propensity to migrate, is not strongly associated with more directed migration from locations with low returns to adaptability to locations with high returns",topic_6027,topic_1719,How Cognitive Ability and Personality Traits Affect Geographic Mobility,45777,topic_1502,"
cognitive ability --> may increase the monetary returns from moving to such jobs","
cognitive ability --> increases the probability of directed migration—specifically the probability to migrate out of locations with low returns to cognitive ability and to sort into locations with high returns to cognitive ability",[45751],[45772],1,1,['How Cognitive Ability and Personality Traits Affect Geographic Mobility'],TRUE
the returns to migrating from higher wages exceed the costs,an individual migrates,topic_6027,topic_3902,Why Are Some Immigrant Groups More Successful Than Others?,44876,topic_1502,"
cognitive ability --> may increase the monetary returns from moving to such jobs","
cognitive ability and personality traits --> the propensity to move",[45751],[45805],1,1,['How Cognitive Ability and Personality Traits Affect Geographic Mobility'],FALSE
"men, who are in most cases the primary earners in the household, usually contribute larger shares to household income than women",part of the often-discussed gender difference in labor supply elasticities,topic_2649,topic_4533,Estimating Labor Supply Elasticities with Joint Borrowing Constraints of Couples,13070,topic_2227,"
even among men labor supply elasticities are likely larger than estimated by the majority of existing studies --> part of the often-discussed gender difference in labor supply elasticities can be attributed to the fact that men, who are in most cases the primary earners in the household, usually contribute larger shares to household income than women","
women usually being attributed a substantially larger value for the Frisch elasticity than men --> the difference in labor supply elasticities between individuals with high and low levels of earnings",[13071],[12773],1,1,['Estimating Labor Supply Elasticities with Joint Borrowing Constraints of Couples'],TRUE
student tracking,The pure class size effect identified in this paper can thereby be considered a lower bound to the true class size effect,topic_2107,topic_979,A Method for Disentangling Multiple Treatments from a Regression Discontinuity Design,36057,topic_6894,"
class size --> student development","
class size --> the potential nonlinear effect of class size",[79421],[79808],1,1,['Nonlinear Class Size Effects on Cognitive and Noncognitive Development of Young Children'],FALSE
student ability,student assignment to different class sizes,topic_2107,topic_2335,Nonlinear Class Size Effects on Cognitive and Noncognitive Development of Young Children,79581,topic_890,"
grade retention --> student stress","
grade retention --> the composition of students in the high school the student attends",[67896],[67901],1,1,['The Effect of Grade Retention on Adult Crime: Evidence from a Test-Based Promotion Policy'],FALSE
misassignment of PIKs and classical measurement error,biases with opposite signs,topic_455,topic_1445,"Do Grandparents Matter? Multigenerational Mobility in the United States, 1940–2015",49667,topic_2418,"
OLS uses the wrong counterfactual earnings values --> both sets of weights are the counterfactual probabilities
how these variables are measured (retrospectively or longitudinally) --> the measurement error in occupational switching","
OLS uses the wrong counterfactual earnings values --> OLS will almost certainly be biased","[47361, 74320]",[47362],2,1,"['The Labor Market Returns to Advanced Degrees', 'Reconciling Occupational Mobility in the Current Population Survey']",FALSE
in cohorts with a low ratio of women to men and that this gap is significantly diminished in cohorts with more female students,there is a gender gap in on-time PhD completions among students,topic_2340,topic_2922,Nevertheless She Persisted? Gender Peer Effects in Doctoral STEM Programs,67304,topic_3755,"
peer gender composition --> first-term GPA such that women have worse grades than men in highly male cohorts","
peer gender composition --> the gap in PhD completion rates between men and women",[67421],[67607],1,1,['Nevertheless She Persisted? Gender Peer Effects in Doctoral STEM Programs'],TRUE
among students in cohorts with a low ratio of women to men,there is a gender gap in on-time PhD completions,topic_2340,topic_2922,Nevertheless She Persisted? Gender Peer Effects in Doctoral STEM Programs,67306,topic_3755,"
peer gender composition --> first-term GPA such that women have worse grades than men in highly male cohorts","
peer gender composition --> the gap in PhD completion rates between men and women",[67421],[67607],1,1,['Nevertheless She Persisted? Gender Peer Effects in Doctoral STEM Programs'],TRUE
the CZs that feature many colleges have schools with better principals on average and this advantage is not predictable on the basis of the observed school characteristics X s and Z 2 s S,it will be reflected in G 2 C,topic_4068,topic_1273,"Quantifying Family, School, and Location Effects in the Presence of Complementarities and Sorting",17788,topic_3288,"
school/neighborhood averages of observed student characteristics and averages of unobserved student characteristics --> school/neighborhood averages of observed student characteristics ( X g ) can serve as controls for the averages of unobserved student characteristics that would otherwise bias estimates of the importance of school and neighborhood effects","
Z 2 n NU  2 NU is clustered at the school level and predictable by Z 2 s S --> this will be reflected in the columns of  z 2 g U Z 2 g corresponding to Z 2 s S",[17448],[17787],1,1,"['Quantifying Family, School, and Location Effects in the Presence of Complementarities and Sorting']",TRUE
students below the typical acceptee lines at highly selective colleges,are less likely to attend an elite college than students above the lines,topic_777,topic_1906,Changing College Choices with Personalized Admissions Information at Scale: Evidence on Naviance,42667,topic_1114,"
superior school and CZ inputs --> marginal students who are induced to enroll in a 4-year college","
superior school and CZ inputs --> marginal students who are induced to enroll in a 4-year college may graduate at lower rates",[18311],[18314],1,1,"['Quantifying Family, School, and Location Effects in the Presence of Complementarities and Sorting']",FALSE
the many smaller and less selective in-state public colleges near the district,Students may have been unaware of these options before Naviance,topic_777,topic_4455,Changing College Choices with Personalized Admissions Information at Scale: Evidence on Naviance,42655,topic_5686,"
the eligibility threshold is rather low --> these students do not access very selective institutions","
the eligibility review --> may have implicitly pushed some participants to receive job search services that they would not have received in the absence of the program",[38247],[39591],1,1,"['Labor Market Returns to Student Loans for University: Evidence from Chile', 'The Labor Market Effects of US Reemployment Policy: Lessons from an Analysis of Four Programs during the Great Recession']",FALSE
employers discriminate against ex-offenders even when other observable characteristics are identical,"Ex-offenders are more likely than nonoffenders to have engaged in violent, dishonest, or otherwise antisocial behavior",topic_2117,topic_3875,The Unintended Consequences of “Ban the Box”: Statistical Discrimination and Employment Outcomes When Criminal Histories Are Hidden,31892,topic_2167,"
statistical discrimination --> employers discriminate against ex-offenders even when other observable characteristics are identical","
statistical discrimination --> Ex-offenders are more likely than nonoffenders to have engaged in violent, dishonest, or otherwise antisocial behavior",[31894],[31895],1,1,['The Unintended Consequences of “Ban the Box”: Statistical Discrimination and Employment Outcomes When Criminal Histories Are Hidden'],TRUE
employers are statistically discriminating,the damage to innocent bystanders within this group is greater than the aid given to ex-offenders,topic_2117,topic_3875,The Unintended Consequences of “Ban the Box”: Statistical Discrimination and Employment Outcomes When Criminal Histories Are Hidden,31918,topic_2167,"
statistical discrimination --> employers discriminate against ex-offenders even when other observable characteristics are identical","
statistical discrimination --> Ex-offenders are more likely than nonoffenders to have engaged in violent, dishonest, or otherwise antisocial behavior",[31894],[31895],1,1,['The Unintended Consequences of “Ban the Box”: Statistical Discrimination and Employment Outcomes When Criminal Histories Are Hidden'],TRUE
a higher student loan debt burden at school exit,any effect of debt aversion induced by a higher student loan debt burden at school exit,topic_30,topic_4717,Student Loans and Homeownership,27784,topic_4058,"
protests over the high cost of higher education --> a rise in the default rates of student loans","
a large protest in early 2010 over high student debt emerged --> there was an increase in default rates on federal student loans in the United States throughout the 2000s",[37843],[37844],1,1,['Labor Market Returns to Student Loans for University: Evidence from Chile'],FALSE
Among those reporting CPS-ASEC self-employment,"students, self-described retirees, and self-described disabled individuals are somewhat more likely not to have DER self-employment income",topic_4490,topic_4444,Reconciling Survey and Administrative Measures of Self-Employment,53877,topic_1618,"
being more likely to have a missing DER self-employment first job and less likely to have a missing DER self-employment second job --> individuals with low CPS-ASEC self-employment earnings are more likely to have a missing DER self-employment second job but less likely to belong to the group for which self-employment in the CPS-ASEC appears as wage and salary work in the DER","
being more likely to have a missing DER self-employment first job and less likely to have a missing DER self-employment second job --> individuals with low CPS-ASEC self-employment earnings",[53876],[53877],1,1,['Reconciling Survey and Administrative Measures of Self-Employment'],TRUE
the type of self-employment that is least likely to be missing from the CPS-ASEC reports—self-employment that generates relatively high and stable earnings—is exactly the type of self-employment that is most likely to be misreported in the CPS-ASEC as wage and salary work,the change in the proportion of the DER self-employed who are in the CPS-ASEC SE = 1 off-diagonal or one of its subgroups,topic_4490,topic_4691,Reconciling Survey and Administrative Measures of Self-Employment,53857,topic_2553,"
The increasing size of all three of the groups in the CPS-ASEC SE = 0, DER SE = 1 off-diagonal --> both missing self-employment and misreporting of self-employment as wage and salary work are growing problems in the CPS-ASEC","
growth in the size of the CPS-ASEC SE = 1, DER SE = 0 subgroups have grown slightly --> partially offsetting the contributions of growth in the size of the CPS-ASEC SE = 0, DER SE = 1 off-diagonal subgroups to the size of the gap between DER and CPS-ASEC self-employment",[53745],[53778],1,1,['Reconciling Survey and Administrative Measures of Self-Employment'],TRUE
loan take-up,educational and labor market outcomes,topic_1623,topic_1455,Labor Market Returns to Student Loans for University: Evidence from Chile,38181,topic_2277,"
the decision of taking up an SGL to attend university --> loan take-up","
taking up an SGL at a university --> educational and labor market outcomes",[38006],[38000],1,1,['Labor Market Returns to Student Loans for University: Evidence from Chile'],TRUE
the sharp divergence in earnings,the disability insurance participation rate higher,topic_6944,topic_4163,"Push and Pull: Disability Insurance, Regional Labor Markets, and Benefit Generosity in Canada and the United States",24815,topic_5800,"
10% higher earnings in Mexico --> discounted cumulative consumption (above and beyond the change in earnings and net of migration costs) along the earnings distribution","
a 10-point increase in the replacement rate --> would increase disability insurance take-up by 1.61 percentage points",[83038],[24692],1,1,"['Borrowing Constraints and the Dynamics of Return and Repeat Migration', 'Push and Pull: Disability Insurance, Regional Labor Markets, and Benefit Generosity in Canada and the United States']",FALSE
these observable differences in earnings levels across destination countries,migrant settlement choices,topic_6944,topic_661,"A Comparative Analysis of the Labor Market Performance of University-Educated Immigrants in Australia, Canada, and the United States: Does Policy Matter?",19610,topic_118,"
labor market dynamics --> long-term earnings differences","
labor market information --> migration decisions",[34667],[52655],1,1,"['Storms and Jobs: The Effect of Hurricanes on Individuals’ Employment and Earnings over the Long Term', 'Moving to Jobs: The Role of Information in Migration Decisions']",FALSE
employers cannot tell who has a criminal record,job-ready ex-offenders will have a better chance at getting an interview,topic_4105,topic_3481,The Unintended Consequences of “Ban the Box”: Statistical Discrimination and Employment Outcomes When Criminal Histories Are Hidden,31899,topic_6559,"
BTB --> does not stop employers from ever conducting background checks","
BTB --> increases recidivism and incarceration by making it more difficult to find a job",[42753],[32039],1,1,"['Does Banning the Box Help Ex-Offenders Get Jobs? Evaluating the Effects of a Prominent Example', 'The Unintended Consequences of “Ban the Box”: Statistical Discrimination and Employment Outcomes When Criminal Histories Are Hidden']",FALSE
firms ultimately do conduct background checks and reject those with records,the law may not increase employment,topic_4105,topic_1582,Does Banning the Box Help Ex-Offenders Get Jobs? Evaluating the Effects of a Prominent Example,42715,topic_6559,"
BTB --> does not stop employers from ever conducting background checks","
BTB --> increases recidivism and incarceration by making it more difficult to find a job
public campaigns aimed at convincing employers to give ex-offenders a second chance --> Public BTB laws can affect both public and private sector employment",[42753],"[32039, 32022]",1,2,"['Does Banning the Box Help Ex-Offenders Get Jobs? Evaluating the Effects of a Prominent Example', 'The Unintended Consequences of “Ban the Box”: Statistical Discrimination and Employment Outcomes When Criminal Histories Are Hidden']",FALSE
employers’ statistical discrimination against those with criminal records,hurts the most job-ready ex-offenders,topic_4105,topic_4834,The Unintended Consequences of “Ban the Box”: Statistical Discrimination and Employment Outcomes When Criminal Histories Are Hidden,31897,topic_6559,"
BTB --> does not stop employers from ever conducting background checks","
BTB --> offenders find higher-paying jobs",[42753],[42935],1,1,['Does Banning the Box Help Ex-Offenders Get Jobs? Evaluating the Effects of a Prominent Example'],FALSE
"Other localities in Washington State passed more limited BTB laws, restricting only public employers and their contractors, both before and after Seattle’s law took effect",these laws did not affect ex-offenders’ labor market outcomes in this sample either,topic_1582,topic_1427,Does Banning the Box Help Ex-Offenders Get Jobs? Evaluating the Effects of a Prominent Example,42742,topic_3776,"
a prominent and far-reaching BTB law enacted in Seattle --> the employment and earnings of ex-offenders
public campaigns aimed at convincing employers to give ex-offenders a second chance --> Public BTB laws can affect both public and private sector employment","
a 2013 BTB law passed in Seattle --> had negligible impacts on ex-offenders’ earnings and employment","[43175, 32022]",[42719],2,1,"['Does Banning the Box Help Ex-Offenders Get Jobs? Evaluating the Effects of a Prominent Example', 'The Unintended Consequences of “Ban the Box”: Statistical Discrimination and Employment Outcomes When Criminal Histories Are Hidden']",FALSE
having children reduces earnings for women,part of the documented effects on the gender wage gap,topic_4100,topic_6156,Exposure to More Female Peers Widens the Gender Gap in STEM Participation,37285,topic_7,"
additional female peers in ninth grade --> increase women’s earnings and lower the incidence of teenage births","
the proportion of female high school peers --> the gender wage gap",[33938],[37270],1,1,"['Exposure to More Female Peers Widens the Gender Gap in STEM Participation', 'High-Performing Peers and Female STEM Choices in School']",FALSE
the rise in the employment rate of women in the third cohort relative to the first,A large share of the decline,topic_4085,topic_6662,Female Earnings Inequality: The Changing Role of Family Characteristics and Its Effect on the Extensive and Intensive Margins,56191,topic_3491,"
reductions in the extensive-margin component --> the rise in the average probability of employment for women in the third cohort relative to the first","
reductions in the extensive-margin components --> A large share of the decline",[55797],[56191],1,1,['Female Earnings Inequality: The Changing Role of Family Characteristics and Its Effect on the Extensive and Intensive Margins'],TRUE
the rise in the average probability of employment for women in the third cohort relative to the first,a relatively large share of the decline in between-person inequality,topic_4085,topic_170,Female Earnings Inequality: The Changing Role of Family Characteristics and Its Effect on the Extensive and Intensive Margins,55797,topic_3491,"
reductions in the extensive-margin component --> the rise in the average probability of employment for women in the third cohort relative to the first","
reductions in the extensive-margin component --> a relatively large share of the decline in between-person inequality",[55797],[55798],1,1,['Female Earnings Inequality: The Changing Role of Family Characteristics and Its Effect on the Extensive and Intensive Margins'],TRUE
equalizing school funding across richer and poorer districts,increases IGM for children from low-income families,topic_6262,topic_704,School Finance Equalization Increases Intergenerational Mobility,85048,topic_1301,"
a reduction in --> the teacher-student ratio measured at the district-year level","
a reduction in --> is more likely to increase revenues for lower-income children",[85054],[84667],1,1,['School Finance Equalization Increases Intergenerational Mobility'],TRUE
equalization in school revenues across districts,increases IGM of children from low-income families,topic_6262,topic_704,School Finance Equalization Increases Intergenerational Mobility,85105,topic_1301,"
a reduction in --> the teacher-student ratio measured at the district-year level","
a reduction in --> is more likely to increase revenues for lower-income children",[85054],[84667],1,1,['School Finance Equalization Increases Intergenerational Mobility'],TRUE
extroverted and risk-taking employees are more likely to select themselves into jobs and firms where pay for performance plays a significant role than introverted and risk-averse employees,employers are more likely to delegate job autonomy and responsibility to capable and conscious workers than to less capable and less conscious workers,topic_2954,topic_1695,"Empowerment, Task Commitment, and Performance Pay",72654,topic_818,"
located in thin labor markets --> workers with low specific vocational preparation to be more likely to switch occupations","
students facing weak labor markets --> prefer to send a stronger signal about their ability to a potential employer",[6563],[52218],1,1,"['Investment over the Business Cycle: Insights from College Major Choice', 'Specific Human Capital and Wait Unemployment']",FALSE
it is also costly,making it important to have good estimates of its benefits to be able to gauge its effectiveness vis-à-vis other education policies,topic_1846,topic_3161,Nonlinear Class Size Effects on Cognitive and Noncognitive Development of Young Children,79401,topic_78,"
Class size reduction --> It is also costly","
class size reduction --> a costly policy whose benefits need to be compared with those of other interventions in education",[79399],[79859],1,1,['Nonlinear Class Size Effects on Cognitive and Noncognitive Development of Young Children'],TRUE
